,sentence,aspect,sentiment
401,the food was cold  served very late ,service,Negative
402,drinks were of bad quality ,quality,Negative
403,staff behavior was also very bad ,service,Negative
404,food is pathetic ,quality,Negative
405,i was not able to eat it was too spicy n salty ,quality,Negative
406,i ordered kadai chicken but received only 1 piece of chicken very bad experience ,service,Negative
407,naan was totally black in color ,quality,Negative
408,kinda of disappointed with the food ,quality,Negative
409,everything is either drenched in oil or tastes old ,quality,Negative
410,ambience is quiet ,environment,Positive
411,butter garlic prawn is good though  dishes tried  butter garlic prawn roasted lamb crab on toast,quality,Positive
412,poor quality and quantity and food is not nice and packing is not nice and food is not taste full and feeling sad why i ordered this food from this restaurant,quality,Negative
413,poor quality and quantity and food is not nice and packing is not nice and food is not taste full and feeling sad why i ordered this food from this restaurant,service,Negative
414,i found a small wooden stick in the tofu keema wrap i ordered from eat fit ,quality,Negative
415,apparently  not so hygenic and healthy as they claim themselves to be ,quality,Negative
416,very bad services  i booked table in advance with zomato gold   after taking first order  they did not turned up to table to take main course order or to serve water or to clean up table ,service,Negative
417,one should not come with family here ,other,Negative
418,no salt in food,quality,Negative
419,non veg pizza served in place of veg order,service,Negative
420,such a costly thing of rs 300 and such less quantity that hardly one person can eat ,price,Negative
421,such a costly thing of rs 300 and such less quantity that hardly one person can eat ,quality,Negative
422,the food too was not fresh and was stale and was smelling ,quality,Negative
423,had to throw it away and neither zomato nor these ppl lsitened to any queries ,quality,Negative
424,had to throw it away and neither zomato nor these ppl lsitened to any queries ,service,Negative
425,i wud suggest not to order from here as u can easily get at this price from good restaurants,other,Negative
426,not only did they lack the basic services like serving papad and water in the beginning  they made blunders like serving long island ice tea to a pregnant woman instead of the lemon ice tea that she ordered ,service,Negative
427,we had to keep going out of the room to call the waiters only to be responded with an arrogant attitude  especially by the restaurant manager parmeshwar from lucknow ,service,Negative
428,each order took a long time to come and was served cold ,quality,Negative
429,each order took a long time to come and was served cold ,service,Negative
430,and when i say served  i don t mean served by them ,service,Negative
431,oh no  the waiters simply kept all the dishes on one side of the table and left it to us to serve ourselves ,service,Negative
